iter	RMSE
0	0.4136991583
1	0.3985406428
2	0.3851877862
3	0.3746143473
4	0.3642244297
5	0.3554224972
6	0.3485738719
7	0.3425671815
8	0.3371550281
9	0.3323816317
10	0.3283283357
11	0.3246970353
12	0.321144334
13	0.3184863485
14	0.3155259611
15	0.3123692187
16	0.3107343823
17	0.3084936272
18	0.3070840885
19	0.3047985705
20	0.3030137275
21	0.3014969515
22	0.3004246355
23	0.2989487128
24	0.2979471101
25	0.2969999364
26	0.2956293239
27	0.2941584897
28	0.2929782963
29	0.2919930614
30	0.2913554656
31	0.2907129032
32	0.2900368206
33	0.2892940977
34	0.2882381526
35	0.2876820337
36	0.2873908794
37	0.286937848
38	0.2864009396
39	0.2859789311
40	0.2851996114
41	0.2846821276
42	0.2837952856
43	0.2832540193
44	0.2830035611
45	0.2826127439
46	0.2820535504
47	0.2813452117
48	0.2810432373
49	0.2806398136
50	0.280110083
51	0.2794781884
52	0.2789791953
53	0.2780883781
54	0.2773032081
55	0.2768439229
56	0.2764852814
57	0.2757325788
58	0.2752077796
59	0.2746891185
60	0.274177487
61	0.2738492416
62	0.2732970071
63	0.2724085941
64	0.2719053996
65	0.2710763382
66	0.270770416
67	0.2703353958
68	0.2697733968
69	0.2691102934
70	0.2687818554
71	0.2683949893
72	0.268002326
73	0.2675890082
74	0.2668215834
75	0.2655407215
76	0.2645316639
77	0.2640381362
78	0.2636833852
79	0.2633651849
80	0.2631067875
81	0.26271458
82	0.2623527633
83	0.2618159532
84	0.2611518901
85	0.2604536496
86	0.2599285772
87	0.2594624439
88	0.258856845
89	0.2585290185
90	0.2579920359
91	0.257320026
92	0.2564911026
93	0.2560478725
94	0.2558483424
95	0.2553936018
96	0.2552442253
97	0.2545271136
98	0.2537920568
99	0.2534963996
