iter	Passed	Remaining
0	2	212
1	4	198
2	5	193
3	7	186
4	9	176
5	10	168
6	12	163
7	13	159
8	15	158
9	17	154
10	18	151
11	20	147
12	21	143
13	22	139
14	24	136
15	25	133
16	26	130
17	27	127
18	29	124
19	30	121
20	31	120
21	33	117
22	34	115
23	35	113
24	36	110
25	38	108
26	39	105
27	40	104
28	41	102
29	43	100
30	44	98
31	45	96
32	46	95
33	47	93
34	49	91
35	50	89
36	51	87
37	53	86
38	54	85
39	56	84
40	57	83
41	59	82
42	61	81
43	63	81
44	65	79
45	66	78
46	68	77
47	69	75
48	71	74
49	73	73
50	74	71
51	76	70
52	78	69
53	79	67
54	81	66
55	82	64
56	83	62
57	84	61
58	85	59
59	86	57
60	88	56
61	89	54
62	90	53
63	91	51
64	92	49
65	93	48
66	95	46
67	96	45
68	97	43
69	98	42
70	99	40
71	100	39
72	102	37
73	103	36
74	104	34
75	105	33
76	107	31
77	108	30
78	109	29
79	110	27
80	111	26
81	112	24
82	113	23
83	114	21
84	116	20
85	117	19
86	118	17
87	119	16
88	121	14
89	122	13
90	124	12
91	125	10
92	127	9
93	128	8
94	129	6
95	130	5
96	131	4
97	132	2
98	133	1
99	134	0
