id,day,pressure,humidity,cloud,sunshine,winddirection,windspeed,rainfall,Temp_unificada
0,1,1017.4,87.0,88.0,1.1,60.0,17.2,1,-1.1055805944848782
1,2,1019.5,95.0,91.0,0.0,50.0,21.9,1,-2.6855130112440317
2,3,1024.1,75.0,47.0,8.3,70.0,18.1,1,-3.164961935974037
3,4,1013.4,95.0,95.0,0.0,60.0,35.6,1,-2.190972089876653
4,5,1021.8,52.0,45.0,3.6,40.0,24.8,0,-2.686549235554673
5,6,1022.7,79.0,81.0,0.0,20.0,15.7,1,-2.330720893353471
6,7,1022.8,56.0,46.0,7.6,20.0,28.4,0,-2.67818676079943
7,8,1019.7,96.0,100.0,0.0,50.0,52.8,1,-3.6833306348603636
8,9,1017.4,86.0,100.0,0.0,50.0,37.5,1,-2.889113367434976
9,10,1025.4,77.0,84.0,1.0,50.0,38.3,0,-3.910199667910102
10,11,1016.8,97.0,100.0,0.0,40.0,24.4,1,-3.130976893057463
11,12,1012.5,98.0,100.0,0.0,50.0,23.5,1,-3.3076856256022786
12,13,1020.4,77.0,86.0,0.0,50.0,32.4,1,-3.501536325465438
13,14,1012.5,87.0,92.0,0.0,50.0,37.0,1,-4.064165501569687
14,15,1018.4,77.0,85.0,1.2,40.0,20.9,1,-2.958370992227863
15,16,1024.3,79.0,91.0,0.3,20.0,20.0,1,-4.120282892573136
16,17,1022.5,79.0,70.0,6.8,20.0,30.3,1,-4.725037727768708
17,18,1034.6,68.0,60.0,2.5,50.0,13.4,0,-3.1415041616448507
18,19,1024.1,76.0,77.0,0.0,20.0,20.5,1,-3.15021037484226
19,20,1020.2,75.0,93.0,0.1,40.0,21.9,1,-3.5906952818578626
20,21,1022.4,92.0,88.0,0.4,30.0,41.3,1,-3.0809298090320896
21,22,1022.6,52.0,49.0,9.1,50.0,10.2,0,-2.196443360309213
22,23,1020.6,95.0,95.0,0.0,60.0,39.5,1,-2.204065157949877
23,24,1013.0,90.0,92.0,0.0,70.0,30.4,1,-1.2549951240916037
24,25,1012.5,84.0,88.0,0.0,70.0,30.2,1,-0.5412102690232258
25,26,1019.5,76.0,78.0,10.2,80.0,10.2,1,-0.357619993586405
26,27,1013.4,92.0,95.0,0.0,40.0,15.9,1,-0.818801152536578
